NOMBRE_REGION,VOTOS_TOTALES_DIPNAC,VOTOS_FDT_DIPNAC,PORCENTAJE_FDT_DIPNAC
COMUNA 01,121775,39693,32.6
COMUNA 02,103939,18427,17.73
COMUNA 03,116979,40581,34.69
COMUNA 04,136912,54060,39.49
COMUNA 05,121949,41093,33.7
COMUNA 06,127597,36017,28.23
COMUNA 07,133888,45034,33.64
COMUNA 08,106347,48922,46.0
COMUNA 09,116615,42907,36.79
COMUNA 10,118715,38467,32.4
COMUNA 11,137473,40269,29.29
COMUNA 12,151949,43184,28.42
COMUNA 13,168452,34021,20.2
COMUNA 14,156863,33295,21.23
COMUNA 15,128567,43788,34.06
