NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_FDT_JEFGOB,PORCENTAJE_FDT_JEFGOB
COMUNA 01,1001000001,7443,3070,41.25
COMUNA 01,1001000002,6602,2741,41.52
COMUNA 01,1001000003,3349,448,13.38
COMUNA 01,1001000005,5952,3753,63.05
COMUNA 01,1001000006,11079,1111,10.03
COMUNA 01,1001000007,5332,839,15.74
COMUNA 01,1001000008,5681,1218,21.44
COMUNA 01,1001000009,7297,1877,25.72
COMUNA 01,1001000010,8179,2092,25.58
COMUNA 01,1001000011,8196,2849,34.76
COMUNA 01,1001000012,7740,2752,35.56
COMUNA 01,1001000013,8833,3210,36.34
COMUNA 01,1001000014,3518,1212,34.45
COMUNA 01,1001000015,5886,2431,41.3
COMUNA 01,1001000016,5930,2284,38.52
COMUNA 01,1001000017,8786,3506,39.9
COMUNA 01,1001000018,4795,2066,43.09
COMUNA 01,1001000019,7836,3426,43.72
COMUNA 02,1002000020,6924,1319,19.05
COMUNA 02,1002000021,8050,766,9.52
COMUNA 02,1002000022,11863,2316,19.52
COMUNA 02,1002000023,14640,2884,19.7
COMUNA 02,1002000024,9631,1527,15.86
COMUNA 02,1002000025,9374,1265,13.49
COMUNA 02,1002000026,12218,1492,12.21
COMUNA 02,1002000027,9236,1976,21.39
COMUNA 02,1002000028,13173,3309,25.12
COMUNA 02,1002000029,8610,2161,25.1
COMUNA 03,1003000030,7958,2322,29.18
COMUNA 03,1003000031,8871,2590,29.2
COMUNA 03,1003000032,7975,2441,30.61
COMUNA 03,1003000033,6380,2115,33.15
COMUNA 03,1003000034,9989,3303,33.07
COMUNA 03,1003000035,9287,3483,37.5
COMUNA 03,1003000036,6207,2593,41.78
COMUNA 03,1003000037,8264,3096,37.46
COMUNA 03,1003000038,9065,3406,37.57
COMUNA 03,1003000039,9572,3445,35.99
COMUNA 03,1003000040,7372,2644,35.87
COMUNA 03,1003000041,13710,5316,38.77
COMUNA 03,1003000042,12455,4725,37.94
COMUNA 04,1004000043,9225,3432,37.2
COMUNA 04,1004000044,7284,2681,36.81
COMUNA 04,1004000045,5355,2197,41.03
COMUNA 04,1004000046,4895,2009,41.04
COMUNA 04,1004000047,11120,6508,58.53
COMUNA 04,1004000048,10278,3595,34.98
COMUNA 04,1004000049,9729,3931,40.4
COMUNA 04,1004000050,10935,3313,30.3
COMUNA 04,1004000051,8030,2463,30.67
COMUNA 04,1004000052,9372,4054,43.26
COMUNA 04,1004000053,10658,4563,42.81
COMUNA 04,1004000054,11458,4329,37.78
COMUNA 04,1004000055,7381,3098,41.97
COMUNA 04,1004000056,7055,3045,43.16
COMUNA 04,1004000057,14602,5588,38.27
COMUNA 05,1005000058,10805,4089,37.84
COMUNA 05,1005000059,10334,3996,38.67
COMUNA 05,1005000060,12535,4566,36.43
COMUNA 05,1005000061,11673,3690,31.61
COMUNA 05,1005000062,8020,2915,36.35
COMUNA 05,1005000063,15488,5094,32.89
COMUNA 05,1005000064,16662,5711,34.28
COMUNA 05,1005000065,10491,3488,33.25
COMUNA 05,1005000066,10159,3419,33.65
COMUNA 05,1005000067,15733,5272,33.51
COMUNA 06,1006000068,15954,5218,32.71
COMUNA 06,1006000069,22482,5937,26.41
COMUNA 06,1006000070,20636,6358,30.81
COMUNA 06,1006000071,24687,6867,27.82
COMUNA 06,1006000072,10784,3664,33.98
COMUNA 06,1006000073,13824,4465,32.3
COMUNA 06,1006000074,19233,4833,25.13
COMUNA 07,1007000075,8240,2689,32.63
COMUNA 07,1007000076,13173,4378,33.23
COMUNA 07,1007000077,10243,3864,37.72
COMUNA 07,1007000078,8193,3131,38.22
COMUNA 07,1007000079,10045,3089,30.75
COMUNA 07,1007000080,10619,3248,30.59
COMUNA 07,1007000081,9827,2930,29.82
COMUNA 07,1007000082,11642,3791,32.56
COMUNA 07,1007000083,16254,4128,25.4
COMUNA 07,1007000084,8807,3016,34.25
COMUNA 07,1007000085,5944,1773,29.83
COMUNA 07,1007000086,21689,10970,50.58
COMUNA 08,1008000087,23404,12764,54.54
COMUNA 08,1008000088,14138,5353,37.86
COMUNA 08,1008000089,35863,15982,44.56
COMUNA 08,1008000090,33991,16019,47.13
COMUNA 09,1009000091,6700,3645,54.4
COMUNA 09,1009000092,10715,3823,35.68
COMUNA 09,1009000093,6641,2647,39.86
COMUNA 09,1009000094,9240,3803,41.16
COMUNA 09,1009000095,15016,5546,36.93
COMUNA 09,1009000096,8477,3386,39.94
COMUNA 09,1009000097,10973,4616,42.07
COMUNA 09,1009000098,15977,5647,35.34
COMUNA 09,1009000099,8715,2748,31.53
COMUNA 09,1009000100,11066,3543,32.02
COMUNA 09,1009000101,13389,4481,33.47
COMUNA 10,1010000102,10471,3137,29.96
COMUNA 10,1010000103,10287,3197,31.08
COMUNA 10,1010000104,10034,3424,34.12
COMUNA 10,1010000105,14914,4761,31.92
COMUNA 10,1010000106,9296,3030,32.59
COMUNA 10,1010000107,15373,5203,33.85
COMUNA 10,1010000108,9722,3308,34.03
COMUNA 10,1010000109,15163,5019,33.1
COMUNA 10,1010000110,8073,2994,37.09
COMUNA 10,1010000111,8959,3037,33.9
COMUNA 10,1010000112,6584,2307,35.04
COMUNA 11,1011000113,10224,3376,33.02
COMUNA 11,1011000114,13502,4504,33.36
COMUNA 11,1011000115,9362,3398,36.3
COMUNA 11,1011000116,13529,4846,35.82
COMUNA 11,1011000117,14767,4700,31.83
COMUNA 11,1011000118,11627,3268,28.11
COMUNA 11,1011000119,14657,4287,29.25
COMUNA 11,1011000120,15193,4049,26.65
COMUNA 11,1011000121,12430,3554,28.59
COMUNA 11,1011000122,10544,2208,20.94
COMUNA 11,1011000123,11539,3163,27.41
COMUNA 12,1012000124,13337,4527,33.94
COMUNA 12,1012000125,17543,5275,30.07
COMUNA 12,1012000126,14598,4569,31.3
COMUNA 12,1012000127,19304,4655,24.11
COMUNA 12,1012000128,15876,4653,29.31
COMUNA 12,1012000129,20593,5780,28.07
COMUNA 12,1012000130,13788,3976,28.84
COMUNA 12,1012000131,4523,1286,28.43
COMUNA 12,1012000132,15876,5079,31.99
COMUNA 12,1012000133,16364,4505,27.53
COMUNA 13,1013000134,6824,1503,22.03
COMUNA 13,1013000135,9440,2054,21.76
COMUNA 13,1013000136,11647,2829,24.29
COMUNA 13,1013000137,10943,2753,25.16
COMUNA 13,1013000138,22267,4512,20.26
COMUNA 13,1013000139,14093,2673,18.97
COMUNA 13,1013000140,6554,1524,23.25
COMUNA 13,1013000141,11183,2393,21.4
COMUNA 13,1013000142,18615,2106,11.31
COMUNA 13,1013000143,13875,2611,18.82
COMUNA 13,1013000144,6205,1102,17.76
COMUNA 13,1013000145,11878,3276,27.58
COMUNA 13,1013000146,8815,2786,31.61
COMUNA 13,1013000147,15906,3071,19.31
COMUNA 14,1014000148,17019,2809,16.51
COMUNA 14,1014000149,19173,3040,15.86
COMUNA 14,1014000150,9660,952,9.86
COMUNA 14,1014000151,19176,3034,15.82
COMUNA 14,1014000152,15309,2748,17.95
COMUNA 14,1014000153,17557,4238,24.14
COMUNA 14,1014000154,20138,5527,27.45
COMUNA 14,1014000155,18348,5406,29.46
COMUNA 14,1014000156,7557,2519,33.33
COMUNA 14,1014000157,12382,4118,33.26
COMUNA 15,1015000158,15256,5065,33.2
COMUNA 15,1015000159,9402,3442,36.61
COMUNA 15,1015000160,17753,5808,32.72
COMUNA 15,1015000161,15688,5553,35.4
COMUNA 15,1015000162,12683,5104,40.24
COMUNA 15,1015000163,9836,4142,42.11
COMUNA 15,1015000164,8649,3147,36.39
COMUNA 15,1015000165,15840,5193,32.78
COMUNA 15,1015000166,13172,4720,35.83
COMUNA 15,1015000167,10598,3296,31.1
