NOMBRE_REGION,VOTOS_TOTALES_JEFGOB,VOTOS_FDT_JEFGOB,PORCENTAJE_FDT_JEFGOB
COMUNA 01,122434,40885,33.39
COMUNA 02,103719,19015,18.33
COMUNA 03,117105,41479,35.42
COMUNA 04,137377,54806,39.89
COMUNA 05,121900,42240,34.65
COMUNA 06,127600,37342,29.26
COMUNA 07,134676,47007,34.9
COMUNA 08,107396,50118,46.67
COMUNA 09,116909,43885,37.54
COMUNA 10,118876,39417,33.16
COMUNA 11,137374,41353,30.1
COMUNA 12,151802,44305,29.19
COMUNA 13,168245,35193,20.92
COMUNA 14,156319,34391,22.0
COMUNA 15,128877,45470,35.28
