NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_FIT_JEFGOB,PORCENTAJE_FIT_JEFGOB
COMUNA 01,1001000001,7443,371,4.98
COMUNA 01,1001000002,6602,331,5.01
COMUNA 01,1001000003,3349,33,0.99
COMUNA 01,1001000005,5952,212,3.56
COMUNA 01,1001000006,11079,153,1.38
COMUNA 01,1001000007,5332,106,1.99
COMUNA 01,1001000008,5681,135,2.38
COMUNA 01,1001000009,7297,194,2.66
COMUNA 01,1001000010,8179,284,3.47
COMUNA 01,1001000011,8196,302,3.68
COMUNA 01,1001000012,7740,332,4.29
COMUNA 01,1001000013,8833,422,4.78
COMUNA 01,1001000014,3518,127,3.61
COMUNA 01,1001000015,5886,270,4.59
COMUNA 01,1001000016,5930,288,4.86
COMUNA 01,1001000017,8786,390,4.44
COMUNA 01,1001000018,4795,210,4.38
COMUNA 01,1001000019,7836,359,4.58
COMUNA 02,1002000020,6924,134,1.94
COMUNA 02,1002000021,8050,111,1.38
COMUNA 02,1002000022,11863,351,2.96
COMUNA 02,1002000023,14640,388,2.65
COMUNA 02,1002000024,9631,227,2.36
COMUNA 02,1002000025,9374,199,2.12
COMUNA 02,1002000026,12218,191,1.56
COMUNA 02,1002000027,9236,287,3.11
COMUNA 02,1002000028,13173,486,3.69
COMUNA 02,1002000029,8610,326,3.79
COMUNA 03,1003000030,7958,301,3.78
COMUNA 03,1003000031,8871,362,4.08
COMUNA 03,1003000032,7975,348,4.36
COMUNA 03,1003000033,6380,295,4.62
COMUNA 03,1003000034,9989,423,4.23
COMUNA 03,1003000035,9287,454,4.89
COMUNA 03,1003000036,6207,324,5.22
COMUNA 03,1003000037,8264,390,4.72
COMUNA 03,1003000038,9065,390,4.3
COMUNA 03,1003000039,9572,441,4.61
COMUNA 03,1003000040,7372,309,4.19
COMUNA 03,1003000041,13710,704,5.13
COMUNA 03,1003000042,12455,558,4.48
