NOMBRE_REGION,VOTOS_TOTALES_JEFGOB,VOTOS_JXC_JEFGOB,PORCENTAJE_JXC_JEFGOB
COMUNA 01,122434,56382,46.05
COMUNA 02,103719,66945,64.54
COMUNA 03,117105,48171,41.13
COMUNA 04,137377,49209,35.82
COMUNA 05,121900,50721,41.61
COMUNA 06,127600,61167,47.94
COMUNA 07,134676,55597,41.28
COMUNA 08,107396,33339,31.04
COMUNA 09,116909,44444,38.02
COMUNA 10,118876,49292,41.47
COMUNA 11,137374,63108,45.94
COMUNA 12,151802,72486,47.75
COMUNA 13,168245,100863,59.95
COMUNA 14,156319,93547,59.84
COMUNA 15,128877,52804,40.97
