NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES_JEFGOB,VOTOS_FIT_JEFGOB,VOTOS_CF_JEFGOB,VOTOS_FDT_JEFGOB,VOTOS_JXC_JEFGOB,VOTOS_ULD_JEFGOB,VOTOS_NULO_JEFGOB,VOTOS_RECURRIDO_JEFGOB,VOTOS_IMPUGNADO_JEFGOB,VOTOS_BLANCO_JEFGOB,VOTOS_OTROS_JEFGOB
COMUNA 01,1001000001,7443,371,417,3070,2865,6,42,1,3,467,201
COMUNA 01,1001000002,6602,331,389,2741,2369,2,67,2,0,528,173
COMUNA 01,1001000003,3349,33,145,448,2524,9,11,1,0,156,22
COMUNA 01,1001000005,5952,212,181,3753,998,0,58,3,1,677,69
COMUNA 01,1001000006,11079,153,378,1111,8522,0,45,6,1,770,93
COMUNA 01,1001000007,5332,106,234,839,3653,1,37,0,0,401,61
COMUNA 01,1001000008,5681,135,307,1218,3398,0,26,1,1,500,95
COMUNA 01,1001000009,7297,194,445,1877,3969,0,68,0,1,624,119
COMUNA 01,1001000010,8179,284,531,2092,4317,0,73,9,0,680,193
COMUNA 01,1001000011,8196,302,556,2849,3494,0,59,8,0,740,188
COMUNA 01,1001000012,7740,332,490,2752,3275,0,42,1,1,691,156
COMUNA 01,1001000013,8833,422,662,3210,3593,0,67,8,1,654,216
COMUNA 01,1001000014,3518,127,205,1212,1555,0,32,1,0,310,76
COMUNA 01,1001000015,5886,270,377,2431,2082,6,50,4,0,526,140
COMUNA 01,1001000016,5930,288,385,2284,2282,0,49,0,0,494,148
COMUNA 01,1001000017,8786,390,561,3506,3223,0,98,7,0,757,244
COMUNA 01,1001000018,4795,210,341,2066,1631,0,33,2,0,403,109
COMUNA 01,1001000019,7836,359,468,3426,2632,1,57,7,0,728,158
COMUNA 02,1002000020,6924,134,281,1319,4570,0,42,19,2,487,70
COMUNA 02,1002000021,8050,111,257,766,6234,0,36,1,0,583,62
COMUNA 02,1002000022,11863,351,658,2316,7421,1,76,4,7,839,190
COMUNA 02,1002000023,14640,388,861,2884,9164,0,89,9,8,1000,237
COMUNA 02,1002000024,9631,227,461,1527,6576,0,45,7,4,648,136
