NOMBRE_REGION,CODIGO_CIRCUITO,VOTOS_TOTALES,VOTOS_AGRUPACION,PORCENTAJE_AGRUPACION
COMUNA 01,1001000001,7137,343,4.81
COMUNA 01,1001000002,6643,335,5.04
COMUNA 01,1001000003,3377,31,0.92
COMUNA 01,1001000005,5402,176,3.26
COMUNA 01,1001000006,11110,148,1.33
COMUNA 01,1001000007,5335,106,1.99
COMUNA 01,1001000008,5738,133,2.32
COMUNA 01,1001000009,7313,201,2.75
COMUNA 01,1001000010,8189,273,3.33
COMUNA 01,1001000011,8197,290,3.54
COMUNA 01,1001000012,7778,294,3.78
COMUNA 01,1001000013,8908,406,4.56
COMUNA 01,1001000014,3528,126,3.57
COMUNA 01,1001000015,5819,259,4.45
COMUNA 01,1001000016,5959,287,4.82
COMUNA 01,1001000017,8788,391,4.45
COMUNA 01,1001000018,4918,219,4.45
COMUNA 01,1001000019,7895,350,4.43
COMUNA 02,1002000020,7172,131,1.83
COMUNA 02,1002000021,8085,115,1.42
COMUNA 02,1002000022,11880,342,2.88
COMUNA 02,1002000023,14764,386,2.61
COMUNA 02,1002000024,9718,222,2.28
COMUNA 02,1002000025,9396,175,1.86
COMUNA 02,1002000026,12262,190,1.55
COMUNA 02,1002000027,9160,261,2.85
COMUNA 02,1002000028,13232,488,3.69
COMUNA 02,1002000029,8625,310,3.59
COMUNA 03,1003000030,7996,307,3.84
COMUNA 03,1003000031,8885,342,3.85
COMUNA 03,1003000032,7971,328,4.11
COMUNA 03,1003000033,6477,290,4.48
COMUNA 03,1003000034,10017,404,4.03
COMUNA 03,1003000035,9320,435,4.67
COMUNA 03,1003000036,6242,322,5.16
COMUNA 03,1003000037,8264,368,4.45
COMUNA 03,1003000038,9115,382,4.19
COMUNA 03,1003000039,9584,419,4.37
COMUNA 03,1003000040,7370,314,4.26
COMUNA 03,1003000041,13765,676,4.91
COMUNA 03,1003000042,12151,537,4.42
COMUNA 04,1004000043,9222,436,4.73
COMUNA 04,1004000044,7296,351,4.81
COMUNA 04,1004000045,5354,248,4.63
COMUNA 04,1004000046,4894,223,4.56
COMUNA 04,1004000047,11199,339,3.03
COMUNA 04,1004000048,10301,420,4.08
COMUNA 04,1004000049,9162,434,4.74
COMUNA 04,1004000050,11010,498,4.52
COMUNA 04,1004000051,8029,304,3.79
COMUNA 04,1004000052,9377,410,4.37
COMUNA 04,1004000053,10605,388,3.66
COMUNA 04,1004000054,11533,528,4.58
COMUNA 04,1004000055,7434,292,3.93
COMUNA 04,1004000056,6819,291,4.27
COMUNA 04,1004000057,14664,636,4.34
COMUNA 05,1005000058,10885,518,4.76
COMUNA 05,1005000059,10370,537,5.18
COMUNA 05,1005000060,12272,579,4.72
COMUNA 05,1005000061,11715,466,3.98
COMUNA 05,1005000062,8030,362,4.51
COMUNA 05,1005000063,15545,741,4.77
COMUNA 05,1005000064,16707,754,4.51
COMUNA 05,1005000065,10511,508,4.83
COMUNA 05,1005000066,10201,490,4.8
COMUNA 05,1005000067,15739,785,4.99
COMUNA 06,1006000068,15756,732,4.65
COMUNA 06,1006000069,22541,820,3.64
COMUNA 06,1006000070,20657,886,4.29
COMUNA 06,1006000071,24706,915,3.7
COMUNA 06,1006000072,10797,533,4.94
COMUNA 06,1006000073,13841,670,4.84
COMUNA 06,1006000074,19296,692,3.59
