NOMBRE_REGION,CODIGO_CIRCUITO,MEDIANA_EDAD,VOTOS_FIT_PRES,PORCENTAJE_FIT_PRES
COMUNA 01,1001000001.0,44.5,343,4.81
COMUNA 01,1001000002.0,40.0,335,5.04
COMUNA 01,1001000003.0,37.0,31,0.92
COMUNA 01,1001000005.0,30.0,176,3.26
COMUNA 01,1001000006.0,49.0,148,1.33
COMUNA 01,1001000007.0,46.0,106,1.99
COMUNA 01,1001000008.0,47.0,133,2.32
COMUNA 01,1001000009.0,39.0,201,2.75
COMUNA 01,1001000010.0,40.0,273,3.33
COMUNA 01,1001000011.0,40.0,290,3.54
COMUNA 01,1001000012.0,45.0,294,3.78
COMUNA 01,1001000013.0,42.0,406,4.56
COMUNA 01,1001000015.0,40.0,259,4.45
COMUNA 01,1001000016.0,43.0,287,4.82
COMUNA 01,1001000017.0,39.0,391,4.45
COMUNA 01,1001000018.0,40.0,219,4.45
COMUNA 02,1002000020.0,48.0,131,1.83
COMUNA 02,1002000021.0,50.0,115,1.42
COMUNA 02,1002000024.0,43.0,222,2.28
COMUNA 02,1002000025.0,45.0,175,1.86
COMUNA 02,1002000026.0,48.0,190,1.55
COMUNA 02,1002000028.0,38.0,488,3.69
COMUNA 02,1002000029.0,37.0,310,3.59
COMUNA 03,1003000030.0,38.0,307,3.84
COMUNA 03,1003000031.0,40.0,342,3.85
COMUNA 03,1003000032.0,39.0,328,4.11
COMUNA 03,1003000033.0,41.0,290,4.48
COMUNA 03,1003000034.0,42.0,404,4.03
COMUNA 03,1003000035.0,41.0,435,4.67
COMUNA 03,1003000037.0,43.0,368,4.45
COMUNA 03,1003000038.0,42.0,382,4.19
COMUNA 03,1003000039.0,43.0,419,4.37
COMUNA 03,1003000042.0,42.0,537,4.42
COMUNA 04,1004000043.0,43.0,436,4.73
COMUNA 04,1004000044.0,43.0,351,4.81
COMUNA 04,1004000045.0,41.0,248,4.63
COMUNA 04,1004000046.0,40.0,223,4.56
COMUNA 04,1004000048.0,45.0,420,4.08
COMUNA 04,1004000049.0,39.0,434,4.74
COMUNA 04,1004000050.0,53.0,498,4.52
COMUNA 04,1004000051.0,43.0,304,3.79
COMUNA 04,1004000052.0,36.0,410,4.37
COMUNA 04,1004000053.0,43.0,388,3.66
COMUNA 04,1004000054.0,42.0,528,4.58
COMUNA 04,1004000055.0,40.0,292,3.93
COMUNA 04,1004000056.0,45.0,291,4.27
COMUNA 04,1004000057.0,43.0,636,4.34
COMUNA 05,1005000058.0,43.0,518,4.76
COMUNA 05,1005000059.0,44.0,537,5.18
COMUNA 05,1005000060.0,44.0,579,4.72
COMUNA 05,1005000061.0,42.0,466,3.98
COMUNA 05,1005000062.0,45.0,362,4.51
COMUNA 05,1005000063.0,39.0,741,4.77
COMUNA 05,1005000064.0,43.0,754,4.51
COMUNA 05,1005000065.0,41.0,508,4.83
COMUNA 05,1005000066.0,42.0,490,4.8
COMUNA 05,1005000067.0,44.0,785,4.99
COMUNA 06,1006000068.0,44.0,732,4.65
COMUNA 06,1006000069.0,49.0,820,3.64
COMUNA 06,1006000070.0,45.0,886,4.29
COMUNA 06,1006000071.0,42.0,915,3.7
COMUNA 06,1006000072.0,44.0,533,4.94
COMUNA 06,1006000073.0,44.0,670,4.84
COMUNA 06,1006000074.0,43.0,692,3.59
COMUNA 07,1007000076.0,46.0,509,3.85
COMUNA 07,1007000077.0,45.0,417,4.05
COMUNA 07,1007000078.0,45.0,280,3.42
COMUNA 07,1007000079.0,45.0,416,4.13
COMUNA 07,1007000080.0,45.0,461,4.34
COMUNA 07,1007000081.0,47.0,404,4.12
COMUNA 07,1007000082.0,46.0,451,3.99
COMUNA 07,1007000083.0,50.0,558,3.42
COMUNA 07,1007000084.0,43.0,342,3.87
COMUNA 07,1007000085.0,46.0,218,3.58
COMUNA 07,1007000086.0,33.0,881,4.19
COMUNA 08,1008000087.0,40.0,820,3.54
COMUNA 08,1008000088.0,45.0,485,3.7
COMUNA 08,1008000089.0,35.0,1434,3.96
COMUNA 08,1008000090.0,37.0,1279,3.7
COMUNA 09,1009000091.0,33.0,246,3.65
COMUNA 09,1009000092.0,42.0,489,4.57
COMUNA 09,1009000093.0,42.0,254,3.79
COMUNA 09,1009000094.0,48.0,380,4.5
COMUNA 09,1009000095.0,44.0,621,4.14
COMUNA 09,1009000096.0,44.0,367,4.33
COMUNA 09,1009000097.0,43.0,426,3.87
COMUNA 09,1009000098.0,46.0,568,3.5
COMUNA 09,1009000099.0,45.0,310,3.52
COMUNA 09,1009000100.0,45.0,403,3.64
COMUNA 09,1009000101.0,46.0,504,3.75
COMUNA 10,1010000102.0,46.0,436,4.15
COMUNA 10,1010000103.0,46.0,409,3.98
COMUNA 10,1010000104.0,46.0,414,4.09
COMUNA 10,1010000105.0,45.0,627,4.22
COMUNA 10,1010000106.0,45.0,404,4.35
COMUNA 10,1010000107.0,43.0,637,4.11
COMUNA 10,1010000108.0,44.0,470,4.84
COMUNA 10,1010000109.0,45.0,738,4.86
COMUNA 10,1010000110.0,46.0,337,4.18
COMUNA 10,1010000111.0,45.0,390,4.54
COMUNA 10,1010000112.0,42.0,286,4.35
COMUNA 11,1011000114.0,45.0,560,4.15
COMUNA 11,1011000115.0,43.5,440,4.67
COMUNA 11,1011000116.0,43.0,615,4.51
COMUNA 11,1011000117.0,46.0,640,4.32
COMUNA 11,1011000118.0,46.0,446,3.83
COMUNA 11,1011000119.0,47.0,539,3.71
COMUNA 11,1011000120.0,42.0,579,3.79
COMUNA 11,1011000121.0,46.0,460,3.69
COMUNA 11,1011000122.0,49.0,282,2.66
COMUNA 11,1011000123.0,46.0,442,3.82
COMUNA 12,1012000124.0,47.0,544,4.08
COMUNA 12,1012000125.0,47.0,727,4.14
COMUNA 12,1012000126.0,44.0,652,4.44
COMUNA 12,1012000127.0,46.0,672,3.48
COMUNA 12,1012000129.0,44.0,831,4.05
COMUNA 12,1012000130.0,43.0,553,3.98
COMUNA 12,1012000131.0,47.0,191,4.22
COMUNA 12,1012000132.0,46.0,673,4.21
COMUNA 12,1012000133.0,43.0,651,3.97
COMUNA 13,1013000134.0,45.0,249,3.64
COMUNA 13,1013000135.0,41.0,277,2.93
COMUNA 13,1013000136.0,43.0,487,4.23
COMUNA 13,1013000137.0,42.0,429,3.87
COMUNA 13,1013000138.0,44.0,740,3.3
COMUNA 13,1013000139.0,43.0,451,3.19
COMUNA 13,1013000140.0,43.0,239,3.65
COMUNA 13,1013000141.0,41.0,303,2.7
COMUNA 13,1013000142.0,50.0,329,1.76
COMUNA 13,1013000143.0,45.0,426,3.06
COMUNA 13,1013000144.0,52.0,199,3.21
COMUNA 13,1013000145.0,45.0,508,4.27
COMUNA 13,1013000146.0,41.0,374,4.22
COMUNA 13,1013000147.0,45.0,446,2.79
COMUNA 14,1014000148.0,44.0,421,2.45
COMUNA 14,1014000149.0,43.0,422,2.19
COMUNA 14,1014000150.0,48.0,118,1.22
COMUNA 14,1014000151.0,40.0,378,1.94
COMUNA 14,1014000152.0,49.0,381,2.55
COMUNA 14,1014000153.0,46.0,619,3.52
COMUNA 14,1014000154.0,40.0,770,3.79
COMUNA 14,1014000155.0,39.0,692,3.77
COMUNA 14,1014000156.0,43.0,341,4.51
COMUNA 14,1014000157.0,37.0,533,4.3
COMUNA 15,1015000158.0,42.0,710,4.64
COMUNA 15,1015000159.0,44.0,450,4.77
COMUNA 15,1015000160.0,44.0,874,4.92
COMUNA 15,1015000161.0,44.0,759,4.85
COMUNA 15,1015000162.0,43.0,658,5.19
COMUNA 15,1015000163.0,39.0,444,4.66
COMUNA 15,1015000164.0,47.0,455,5.26
COMUNA 15,1015000165.0,43.0,700,4.42
COMUNA 15,1015000166.0,46.0,588,4.46
COMUNA 15,1015000167.0,45.0,456,4.34
